timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-12,115.81,118.6267,111.81,112.55,112.55,165178,0,1
2022-01-11,113.885,116.045,110.98,115.07,115.07,269994,0,1
2022-01-10,113.44,113.87,110.74,111.72,111.72,229014,0,1
2022-01-07,118.96,120.5799,115.26,115.94,115.94,132771,0,1
2022-01-06,122.46,123.71,119.29,119.97,119.97,137827,0,1
2022-01-05,125.45,126.975,121.86,123.06,123.06,327712,0,1
2022-01-04,123.98,126.62,120.77,126.15,126.15,223282,0,1
2022-01-03,127.35,128.96,121.6,123.76,123.76,182808,0,1
2021-12-31,125.76,127.46,125.46,127.1,127.1,116039,0,1
2021-12-30,126.48,128.14,125.8,126.34,126.34,95034,0,1
2021-12-29,125.15,128.22,124.03,126.48,126.48,93319,0,1
2021-12-28,130.18,130.18,123.99,125.34,125.34,94153,0,1
2021-12-27,125.68,129.3,123.01,128.98,128.98,173771,0,1
2021-12-23,122.0,124.725,121.0,123.79,123.79,107067,0,1
2021-12-22,120.18,121.76,117.87,121.55,121.55,156195,0,1
2021-12-21,116.78,119.065,113.9001,118.75,118.75,216023,0,1
2021-12-20,119.65,119.65,112.6,114.485,114.485,287741,0,1
2021-12-17,117.03,122.32,115.0,120.95,120.95,531625,0,1
2021-12-16,122.73,125.25,117.54,118.4,118.4,432691,0,1
2021-12-15,120.31,120.69,114.7,120.66,120.66,360124,0,1
2021-12-14,118.32,120.86,116.07,120.34,120.34,549116,0,1
2021-12-13,117.04,121.14,116.07,120.0,120.0,199005,0,1
2021-12-10,121.41,122.37,115.1,117.03,117.03,306937,0,1
2021-12-09,126.5,126.68,119.85,119.92,119.92,274827,0,1
2021-12-08,126.53,127.545,124.4,126.09,126.09,317618,0,1
2021-12-07,125.23,129.5,124.8404,127.02,127.02,353815,0,1
2021-12-06,132.2648,132.33,121.77,122.02,122.02,598804,0,1
2021-12-03,141.43,141.57,133.31,137.5,137.5,125062,0,1
2021-12-02,140.1,144.29,137.0,141.05,141.05,84652,0,1
